,0,1,2,3,4,5,Avaliação,Nome,Ranking,6,7
100,,,"Av. Dez de Dezembro, 6331 - Parque Res. Joao Piza, Londrina - PR, 86046-140","MV23+5Q Parque Res. Joao Piza, Londrina - PR",(43) 3341-1909,Reivindicar esta empresa,(3),Casa Shop Porcelanato,"4,7",Adicionar website,
101,,,"R. Rio Grande do Norte, 1326 - Loja 1 - Centro, Londrina - PR, 86026-490","MRVQ+96 Centro, Londrina - PR",negocio.site,(43) 3323-9845,(6),Paulino Decorações,"4,3",,
102,,,sintecadoramartins.com.br,(43) 99935-0687,Reivindicar esta empresa,Adicionar uma foto,(7),Sintecadora Martins - Sinteco - Sinteco Londrina,"4,4",,
103,,"R. Guilherme da Mota Corrêa, 4089 - Jardim Shangri-Lá A, Londrina - PR, 86070-460","PR29+JV Jardim Shangri-Lá A, Londrina - PR",decorpisoslondrina.com.br,(43) 98418-5533,Reivindicar esta empresa,,decor pisos e revestimentos,,,
104,,sintecolondrina.blogspot.com,(43) 99992-1802,,,,,Sinteco,,,
105,,"R. Júlio de Castilho, 564 - Jardim Sabara, Londrina - PR, 86066-010","MQQR+FR Jardim Sabara, Londrina - PR",(43) 3334-0504,Reivindicar esta empresa,Adicionar horário,,Sintekadora IBL,,Adicionar website,
106,,"Av. Jorge Casoni, 1019 - 1019, Londrina - PR, 86026-010","MRXX+JH Vila Galvao, Londrina - PR",(43) 3337-9983,Adicionar website,,,Shekina Estofados,,,
107,,"Av. Europa, 57 - Parque Res. Joao Piza, Londrina - PR, 86041-000","JVW6+JR Parque Res. Joao Piza, Londrina - PR",(43) 3341-7336,Reivindicar esta empresa,Adicionar website,,Depósito Pizza Materiais para Construção,,,
108,,,"Av. Luigi Amorese, 7255w - Parque Industrial Cacique, Londrina - PR, 86071-020","PQ6R+87 Cilo III, Londrina - PR",(43) 3028-4422,Reivindicar esta empresa,(4),Porto de Areia Londrina,"4,8",Adicionar website,
109,,,"Av. Lúcia Helena Gonçalves Viana, 423 - Jardim Italia, Londrina - PR, 86079-180","PR6V+7V Jardim Italia, Londrina - PR",depositolondrinorte.com.br,(43) 3356-3353,(232),Depósito LondriNorte,"4,8",,
110,,"R. Canadá - Jerumenha, Londrina - PR, 86046-400","MV42+8J Jerumenha, Londrina - PR",negocio.site,(43) 99990-2117,,,CJA Revestimentos de Alto Desempenho,,,
111,,"R. dos Açores, 76 - São Lourenço, Londrina - PR, 86026-290","PR2W+5R Matarazzo, Londrina - PR",(43) 3321-7636,Reivindicar esta empresa,Adicionar horário,,Assinteko Santos,,Adicionar website,
112,,,"Av. Maringá, 1765 - Vitoria, Londrina - PR, 86060-000","MRJF+X8 Vitoria, Londrina - PR",centermaringa.com.br,3327-4545,(115),DEPOSITO MARINGA,"4,7",,
113,,,"Av. Tiradentes, 1120 - Shangri-lá, Londrina - PR, 86070-545","MRX8+R7 Shangri-lá, Londrina - PR",(43) 3378-0808,Reivindicar esta empresa,(8),JML Acabamentos,"4,9",Adicionar website,
114,,,"R. Delfim Moreira, 61 - Hedy, Londrina - PR, 86062-610","MRM7+QW Hedy, Londrina - PR",(43) 98492-3340,Adicionar website,(1),Marido de aluguel,"1,0",,
115,,,"Av. Jamil Scaff, 1765 - Jardim da Luz, Londrina - PR, 86037-850","MVMM+CW Jardim da Luz, Londrina - PR",(43) 3339-3339,Adicionar website,(54),Depósito Eliseu Materiais p/ Construção,"4,3",,
116,,,"Av. Jorge Casoni, 2396 - Centro, Londrina - PR, 86026-110","MRPX+VC Centro, Londrina - PR",diprotec.com.br,(43) 3037-7222,(15),Diprotec - Distr. Produtos Técnicos para Construção Civil,"4,8",Gerenciar esta ficha,Adicionar horário
117,,,"Av. Inglaterra, 111 - Igapó, Londrina - PR, 86046-000","MV53+X5 Igapó, Londrina - PR",principecec.com.br,(43) 3341-3969,(202),Príncipe - Casa e Construção,"4,5",,
118,,,"Av. Chepli Tanus Daher, 105 - Jardim Acapulco, Londrina - PR, 86045-000","JRRV+4J Jardim Acapulco, Londrina - PR",(43) 3341-5455,Reivindicar esta empresa,(17),Depósito de Materiais de Construção Buba,"4,5",Adicionar horário,Adicionar website
119,,,"Av. Saul Elkind, 4005 - Estados, Londrina - PR, 86082-000","PRQG+GC Estados, Londrina - PR",(43) 3327-9000,Adicionar website,(54),Depósito Baratão,"4,6",,
120,,,total-paver.negocio.site,(43) 99976-7925,,,(1),Total Paver,"5,0",,
121,,"Av. Sen. Souza Naves, 275 - 03 - Centro, Ibiporã - PR, 86200-000","PWJX+JQ Centro, Ibiporã - PR",pisotop.com,(43) 3158-4009,,,PisoTop Acabamentos,,,
